var_x,var_y,n,r,r2,p_value,slope,intercept,stderr
BOTSALIN,BOTTEMP,7113,0.5167748121598833,0.2670562064828827,0.0,1.0149222409699787,-25.350371555537954,0.019938910705941896
BOTSALIN,EXPCATCHNUM_log,6390,0.050646513180515225,0.0025650692973441026,5.113852362861218e-05,0.028973306640224808,-0.1117595352169537,0.00714839174402054
BOTTEMP,EXPCATCHNUM_log,6390,0.03502488886001629,0.0012267428396564933,0.00510847949916575,0.012063239049490327,0.7467241484197933,0.0043066360065795095
BOTSALIN,EXPCATCHWT_log,6761,0.1010264433598335,0.010206342257937647,8.312434930879653e-17,0.08211876158810025,-2.846295204682704,0.009836451104374973
BOTTEMP,EXPCATCHWT_log,6761,0.009120335618040008,8.318052178568921e-05,0.4533756103558911,0.0044408058755126805,-0.18340338344037804,0.005922317443088573
EXPCATCHNUM_log,EXPCATCHWT_log,13288,0.6776502935726574,0.45920992037910874,0.0,0.9810368162340967,-0.9268060058377656,0.00923627614839695
BOTSALIN,SURFSALIN,7113,0.6508448144117631,0.4235989724466824,0.0,0.4746481532799073,15.948887787499482,0.006565856403387973
BOTTEMP,SURFSALIN,7113,0.4041248125481494,0.1633168641170769,1.0834832583939602e-277,0.15006466075174374,30.343007928392566,0.004027894464466162
EXPCATCHNUM_log,SURFSALIN,6390,0.04090399536774941,0.0016731368370448655,0.0010736090957627266,0.05169774728154488,31.465008267450887,0.015800099198689344
EXPCATCHWT_log,SURFSALIN,6761,0.06645804063434073,0.004416671164955683,4.511308899743623e-08,0.05907925163893207,31.519064878751486,0.01078909549587453
BOTSALIN,SURFTEMP,7113,0.21344153004905356,0.045557286749681035,4.426511072089014e-74,0.47091065286546896,-7.560943821651453,0.025560490502932683
BOTTEMP,SURFTEMP,7113,0.7022844387983364,0.4932034329782942,0.0,0.7889349632427731,1.6040797936284052,0.009483740249180025
EXPCATCHNUM_log,SURFTEMP,6390,-0.008215271594440491,6.749068737042081e-05,0.5114441460592706,-0.022146916429786712,7.432713628312265,0.03372828287361599
EXPCATCHWT_log,SURFTEMP,6761,-0.04483663731132969,0.0020103240453877218,0.00022613125235071207,-0.08526587324000331,7.408370654553213,0.023108087940974277
SURFSALIN,SURFTEMP,7113,0.3327736970870743,0.1107383334729999,1.6902976652830216e-183,1.006732837948266,-23.844989232309725,0.03383098865755002
BOTSALIN,curl_stress_curl,5919,-0.18818826508129555,0.035414823114307964,2.575842180761621e-48,-1.6311827153707254e-07,5.39652072287077e-06,1.1066991580861396e-08
BOTTEMP,curl_stress_curl,5919,0.07017153699096608,0.004924044603674521,6.510848913479971e-08,2.8948613611789364e-08,-2.5873695074835816e-07,5.3498808775842334e-09
EXPCATCHNUM_log,curl_stress_curl,11266,-4.24130757815536e-05,1.7988689972518085e-09,0.9964085068248069,-5.518569748115885e-11,4.193041956664889e-08,1.2259717026703e-08
EXPCATCHWT_log,curl_stress_curl,11962,-0.019701767025909388,0.0003881596239432104,0.031178702073431132,-1.818650535676951e-08,4.112763874475445e-08,8.439062079587206e-09
SURFSALIN,curl_stress_curl,5919,-0.20584994525289282,0.042374199960618975,1.1710212311749371e-57,-2.5573778904242805e-07,8.112664453191915e-06,1.580488298616711e-08
SURFTEMP,curl_stress_curl,5919,0.06349811844263946,0.004032011045755469,1.0128132150535236e-06,2.2237843565380516e-08,-1.978621924629729e-07,4.54363796451495e-09
BOTSALIN,fsle_fsle_max,4202,-0.22196534580253538,0.04926861473723911,4.6076273327662223e-48,-0.01234547668574628,0.30330071354114096,0.0008368101863075813
BOTTEMP,fsle_fsle_max,4202,-0.25927768774237586,0.06722491936103296,1.6094075544896933e-65,-0.007650686211449398,-0.04431555302872886,0.00043974313419670066
EXPCATCHNUM_log,fsle_fsle_max,7400,0.02524323462769339,0.0006372208944687786,0.02989458185459631,0.0022078227937034197,-0.10499473193595667,0.0010165380291276046
EXPCATCHWT_log,fsle_fsle_max,7866,0.02392918222397755,0.0005726057619083231,0.0338161567234281,0.0014955859810469898,-0.10302087406457287,0.0007045915020204176
SURFSALIN,fsle_fsle_max,4202,-0.14008845108796716,0.019624774128225768,7.29051322280355e-20,-0.01132621583085974,0.2548248504138575,0.0012352475995623436
SURFTEMP,fsle_fsle_max,4202,-0.2541533121800681,0.06459390609209915,6.083016908374804e-63,-0.005726896779748985,-0.061822242503221825,0.00033627844763530374
curl_stress_curl,fsle_fsle_max,7749,-0.007680661706177023,5.899256424473414e-05,0.49902966593840653,-598.3425680804531,-0.10384486132118381,885.0578850103946
BOTSALIN,glorys_bottomT_surface,7032,0.4292897193451301,0.18428966313542058,2.4793816716e-313,0.7973447835605275,-18.162122201200972,0.02000718507697955
BOTTEMP,glorys_bottomT_surface,7032,0.8906525137637851,0.7932619002737493,0.0,0.8389593537867562,1.3214049274657906,0.005108168563234062
EXPCATCHNUM_log,glorys_bottomT_surface,13170,0.012953300119318688,0.00016778798398114152,0.13716012830836974,0.0394205661207661,7.588542236888357,0.026518324596358892
EXPCATCHWT_log,glorys_bottomT_surface,13982,-0.013145685948433662,0.00017280905905484622,0.12010179036441475,-0.028261262476021717,7.6254654992449336,0.0181809759315661
SURFSALIN,glorys_bottomT_surface,7032,0.3163312391746859,0.10006545287779235,3.3818100557532936e-163,0.8050756753493352,-17.355021401880308,0.02879535399600164
SURFTEMP,glorys_bottomT_surface,7032,0.649122825264547,0.42136044227942765,0.0,0.5428491140042865,3.745011360174857,0.0075871496511608575
curl_stress_curl,glorys_bottomT_surface,12286,0.011319883414740236,0.00012813976052331106,0.2096117806664823,28070.347619279994,8.016418475147079,22372.169757085798
fsle_fsle_max,glorys_bottomT_surface,8084,-0.27831832658535166,0.07746109091327047,1.014211518626893e-143,-8.964694332709724,6.820809875231167,0.3441332251055645
BOTSALIN,glorys_mlotst_surface,7032,0.25781943966208903,0.06647086346767357,3.679230899177265e-107,1.0207665011782536,-20.275392601793996,0.045624385192095634
BOTTEMP,glorys_mlotst_surface,7032,0.4219639712460125,0.17805359302970564,1.0660907173299233e-301,0.8472724270259729,6.486194628958147,0.02171159806272592
EXPCATCHNUM_log,glorys_mlotst_surface,13170,0.011655265040551987,0.0001358452031655133,0.18106472940040338,0.07922715060643766,13.343063764212028,0.05923282877682944
EXPCATCHWT_log,glorys_mlotst_surface,13982,-0.009454404081261723,8.938575653177832e-05,0.26362429676328797,-0.04532919876361085,13.425153360803781,0.04054813521033995
SURFSALIN,glorys_mlotst_surface,7032,0.376416815711129,0.14168961915010606,1.453275936972824e-235,2.0421080565068617,-51.15891580473971,0.05994517360606406
SURFTEMP,glorys_mlotst_surface,7032,0.36525112935060783,0.13340838749189446,6.813290791696776e-221,0.6511167984041094,8.117936142803822,0.01979232942248625
curl_stress_curl,glorys_mlotst_surface,12286,-0.019544766957458787,0.00038199791542137284,0.030282768130491487,-110012.85439490377,13.962863668027355,50776.18492961315
fsle_fsle_max,glorys_mlotst_surface,8084,-0.07683691321423586,0.005903911232292013,4.59201628673977e-12,-6.561714328532756,13.623324126697948,0.9471138094771923
glorys_bottomT_surface,glorys_mlotst_surface,14367,0.27540830878957073,0.07584973655033155,2.133534554647626e-248,0.588855072636697,9.0559330557052,0.01714943683355831
BOTSALIN,glorys_thetao_surface,7032,0.24587113417967604,0.06045261462280026,2.488709475068738e-97,0.6085922802044803,-11.87153537787693,0.028615449757182415
BOTTEMP,glorys_thetao_surface,7032,0.7468992465265754,0.557858484461966,0.0,0.9376005840111125,0.6158936100231056,0.009955402723529839
EXPCATCHNUM_log,glorys_thetao_surface,13170,-0.011313498331575932,0.0001279952444985714,0.19419718293892668,-0.04672579597656308,7.81562246333678,0.0359891911993467
EXPCATCHWT_log,glorys_thetao_surface,13982,-0.06799697091050622,0.004623588053004228,8.351836949485859e-16,-0.19867270761963712,7.764429765077913,0.024654076025067247
SURFSALIN,glorys_thetao_surface,7032,0.307790425303329,0.09473494590840416,3.600681954028049e-154,1.043933786320535,-24.806774906546018,0.038488240979838176
SURFTEMP,glorys_thetao_surface,7032,0.9374822549084156,0.8788729782681676,0.0,1.044812919237817,-0.14985949260768017,0.004626135349992543
curl_stress_curl,glorys_thetao_surface,12286,0.067444007651876,0.004548694168146308,7.24213105162677e-14,248026.38958943542,8.27518305558372,33105.07902551554
